,Solar Flare,,,Coronal Mass Ejection (CME),,,,,,,,,,,,,Peak Flux,
,,,,M2M+DONKI,,,CDAW,,,CACTus 1,,,CACTus 2,,,SEP,E>10 MeV,E>100 MeV
Event No,Date,Longitude,Class,Date,Speed (km/s),Width (deg.),Date,Speed (km/s),Width (deg.),Date,Speed (km/s),Width (deg.),Date,Speed (km/s),Width (deg.),Index,(pfu),
0,9/6/2017 11:53,34,X9.3,9/6/2017 12:24,1636,90,9/6/2017 12:24,1571,360,9/6/2017 12:12,978,360,9/6/2017 12:12,1955,360,TRUE,,
1,10/24/2014 7:37,5,M4.0,10/24/2014 8:00,728,38,10/24/2014 8:00,677,96,10/24/2014 8:12,496,82,10/24/2014 8:12,946,82,FALSE,,
2,,,,10/29/2015 2:36,535,40,10/29/2015 2:36,530,202,10/29/2015 2:24,411,114,10/29/2015 2:24,679,114,TRUE,19.737,2.0277
3,3/28/2022 10:58,1,M4.0,3/28/2022 12:00,662,90,3/28/2022 12:00,702,360,3/28/2022 12:00,347,150,3/28/2022 12:00,473,150,TRUE,18.683397,1.269069
4,8/9/2011 7:48,69,X6.9,8/9/2011 8:12,1175,40,8/9/2011 8:12,1610,360,8/9/2011 8:24,947,126,8/9/2011 8:24,1562,126,TRUE,24.754,2.6732
5,1/7/2014 18:04,11,X1.2,,,,1/7/2014 18:24,1830,360,1/7/2014 18:36,1135,346,1/7/2014 18:36,1926,346,TRUE,750.4,3.7711
6,10/28/2021 15:17,4,X1.0,10/28/2021 15:48,1109,98,10/28/2021 15:48,1519,360,10/28/2021 16:00,1077,340,10/28/2021 16:00,2016,340,TRUE,21.642817,7.327305
7,11/2/2021 2:03,-3,M1.6,11/2/2021 2:48,1151,102,11/2/2021 2:48,1473,360,11/2/2021 3:12,651,288,11/2/2021 3:12,1250,288,FALSE,,
8,8/19/2022 4:14,49,M1.6,8/19/2022 4:49,878,94,8/19/2022 4:49,832,104,8/19/2022 5:00,785,92,8/19/2022 5:00,898,92,FALSE,,
9,1/23/2012 3:38,20,M8.7,1/23/2012 4:00,2211,124,1/23/2012 4:00,2175,360,1/23/2012 4:24,1178,360,1/23/2012 4:24,1953,360,TRUE,3195.2,2.3859
10,9/4/2017 20:28,16,M5.5,,,,9/4/2017 20:36,1418,360,9/4/2017 20:48,803,14,9/4/2017 20:48,1479,14,TRUE,96.978,
11,6/13/2012 11:29,-21,M1.2,6/13/2012 14:00,643,78,6/13/2012 14:00,461,118,6/13/2012 14:24,430,24,6/13/2012 14:24,822,24,FALSE,,
12,12/1/2022 7:04,35,M1.0,12/1/2022 7:48,1306,60,12/1/2022 7:48,813,115,,,,,,,FALSE,,
13,3/4/2023 15:19,84,M5.2,3/4/2023 15:36,894,90,3/4/2023 15:36,933,360,3/4/2023 16:24,1250,360,3/4/2023 16:24,2015,360,FALSE,,
14,9/29/2013 21:43,33,C1.2,9/29/2013 22:12,1100,140,9/29/2013 22:12,1179,360,9/29/2013 22:24,600,360,9/29/2013 22:24,1895,360,TRUE,125.41,
15,7/6/2012 23:01,50,X1.1,7/6/2012 23:24,1200,80,7/6/2012 23:24,1828,360,7/6/2012 23:48,416,14,7/6/2012 23:48,568,14,TRUE,25.241,
16,9/10/2014 17:21,-5,X1.6,9/10/2014 18:00,1400,90,9/10/2014 18:00,1267,360,9/10/2014 18:00,637,360,9/10/2014 18:00,1302,360,TRUE,26.213,
17,7/12/2012 15:37,2,X1.4,7/12/2012 16:48,1400,140,7/12/2012 16:48,885,360,7/12/2012 15:24,467,10,7/12/2012 15:24,538,10,TRUE,83.893,
18,4/2/2022 12:56,61,M3.9,4/2/2022 13:36,1370,90,4/2/2022 13:36,1433,360,4/2/2022 13:36,844,104,4/2/2022 13:36,1488,104,TRUE,32.182705,
19,4/29/2022 7:15,39,M1.2,4/29/2022 7:36,1397,96,4/29/2022 7:36,1292,245,4/29/2022 7:36,1201,84,4/29/2022 7:36,1953,84,FALSE,,
20,5/28/2021 22:19,68,C9.4,5/28/2021 23:12,949,88,5/28/2021 23:12,971,197,5/28/2021 23:12,880,112,5/28/2021 23:12,1954,112,TRUE,15.560695,
21,8/30/2022 18:05,99,M2.1,8/30/2022 18:12,1378,64,8/30/2022 18:12,1247,360,8/30/2022 18:36,762,50,8/30/2022 18:36,1302,50,FALSE,,
22,4/11/2013 6:55,-12,M6.5,,,,4/11/2013 7:24,861,360,4/11/2013 7:36,573,292,4/11/2013 7:36,919,292,TRUE,113.55,2.0297
23,5/25/2022 18:12,42,M1.3,5/25/2022 18:36,929,68,5/25/2022 18:36,1134,360,5/25/2022 18:36,762,118,5/25/2022 18:36,1562,118,FALSE,,
24,11/6/2014 3:32,-53,M5.4,11/6/2014 4:00,662,76,11/6/2014 4:00,641,210,11/6/2014 4:12,516,120,11/6/2014 4:12,677,120,FALSE,,
25,2/25/2014 0:41,-77,X4.9,2/25/2014 1:25,1670,132,2/25/2014 1:25,2147,360,2/25/2014 1:25,504,56,2/25/2014 1:25,1201,56,TRUE,,
26,7/23/2016 5:00,73,M7.6,7/23/2016 5:24,740,80,7/23/2016 5:24,835,117,7/23/2016 5:24,671,80,7/23/2016 5:24,976,80,FALSE,,
27,8/29/2022 16:15,95,M3.8,8/29/2022 17:00,949,60,8/29/2022 17:00,1112,193,8/29/2022 16:48,664,78,8/29/2022 16:48,1077,78,FALSE,,
28,3/7/2012 1:05,-27,X1.3,,,,3/7/2012 1:30,1825,360,3/7/2012 1:25,919,60,3/7/2012 1:25,1420,60,TRUE,1690.5,69.272
29,4/17/2022 3:17,-73,X1.1,4/17/2022 3:48,841,94,4/17/2022 3:48,895,209,4/17/2022 3:36,828,342,4/17/2022 3:36,2016,342,FALSE,,
30,3/5/2012 3:30,-58,X1.1,3/5/2012 4:00,1363,102,3/5/2012 4:00,1531,360,3/5/2012 3:24,781,244,3/5/2012 3:24,1602,244,FALSE,,
31,3/4/2012 10:29,-65,M2.0,3/4/2012 11:00,1540,120,3/4/2012 11:00,1306,360,3/4/2012 11:00,806,136,3/4/2012 11:00,1644,136,FALSE,,
32,5/22/2013 12:30,75,M5.0,5/22/2013 13:25,1756,128,5/22/2013 13:25,1466,360,5/22/2013 14:00,1147,360,5/22/2013 14:00,1953,360,TRUE,1413,3.311
33,12/17/2014 4:25,-8,M8.7,12/17/2014 5:00,680,52,12/17/2014 5:00,587,360,12/17/2014 5:12,260,6,12/17/2014 5:12,405,6,FALSE,,
34,6/7/2011 6:16,53,M2.5,6/7/2011 6:49,1400,92,6/7/2011 6:49,1255,360,6/7/2011 10:20,795,208,6/7/2011 10:20,1543,208,TRUE,46.639,4.5128
35,8/4/2011 3:41,39,M9.3,8/4/2011 4:12,1950,120,8/4/2011 4:12,1315,360,8/4/2011 4:12,1322,6,8/4/2011 4:12,2016,6,TRUE,69.315,1.7646
36,,,,7/23/2012 2:36,2395,108,7/23/2012 2:36,2003,360,7/23/2012 2:36,1016,118,7/23/2012 2:36,1644,118,TRUE,9.8282,
37,3/9/2015 23:29,-39,M5.8,3/10/2015 0:00,1711,44,3/10/2015 0:00,995,360,3/10/2015 0:00,529,168,3/10/2015 0:00,1250,168,FALSE,,
38,2/25/2023 18:40,42,M6.3,2/25/2023 19:24,920,116,2/25/2023 19:24,1170,360,2/25/2023 20:00,919,352,2/25/2023 20:00,1838,352,TRUE,53.220676,
39,9/10/2017 15:35,88,X8.2,9/10/2017 16:00,2314,116,9/10/2017 16:00,3163,360,9/10/2017 16:48,948,360,9/10/2017 16:48,2013,360,TRUE,1031.1,55.308
40,4/20/2022 3:41,101,X2.2,4/20/2022 4:12,868,60,4/20/2022 4:12,1001,139,4/20/2022 4:24,488,22,4/20/2022 4:24,892,22,FALSE,,
41,,,,1/6/2014 8:00,1138,102,1/6/2014 8:00,1402,360,1/6/2014 8:00,1201,76,1/6/2014 8:00,1736,76,TRUE,40.121,4.079
42,9/27/2012 23:36,26,C3.7,9/28/2012 0:12,1252,94,9/28/2012 0:12,947,360,9/28/2012 0:12,753,268,9/28/2012 0:12,1136,268,TRUE,28.431,
43,1/18/2022 17:01,53,M1.5,1/18/2022 17:48,962,94,1/18/2022 17:48,1014,153,1/18/2022 17:48,892,78,1/18/2022 17:48,1358,78,FALSE,,
44,3/7/2011 19:43,48,M3.7,3/7/2011 20:00,1980,90,3/7/2011 20:00,2125,360,3/7/2011 20:12,702,230,3/7/2011 20:12,1644,230,TRUE,48.362,
45,3/13/2012 16:21,59,M7.9,3/13/2012 17:36,2250,120,3/13/2012 17:36,1884,360,3/13/2012 17:36,424,30,3/13/2012 17:36,1041,30,TRUE,468.77,1.8856
46,1/20/2022 5:41,76,M5.5,1/20/2022 6:12,1426,88,1/20/2022 6:12,1431,211,1/20/2022 6:12,749,110,1/20/2022 6:12,1953,110,TRUE,22.678768,1.126116
47,6/28/2013 1:36,19,C4.4,6/28/2013 2:00,1200,82,6/28/2013 2:00,1037,360,6/28/2013 2:12,919,130,6/28/2013 2:12,1096,130,FALSE,,
48,8/27/2022 1:52,62,M4.8,8/27/2022 2:24,1372,80,8/27/2022 2:24,1284,360,8/27/2022 2:24,1025,274,8/27/2022 2:24,1953,274,TRUE,27.487036,
49,7/14/2017 1:07,33,M2.4,7/14/2017 1:25,750,98,7/14/2017 1:25,1200,360,7/14/2017 1:36,772,240,7/14/2017 1:36,1644,240,TRUE,11.339,
50,1/27/2012 17:37,90,X1.8,1/27/2012 18:27,2200,110,1/27/2012 18:27,2508,360,1/27/2012 18:48,867,56,1/27/2012 18:48,1601,56,TRUE,760.37,11.88
51,8/17/2022 13:26,25,M2.0,8/17/2022 14:36,767,98,8/17/2022 14:36,901,360,,,,,,,FALSE,,
52,6/7/2013 22:32,85,M5.9,6/7/2013 23:12,704,78,6/7/2013 23:12,770,360,6/7/2013 23:12,672,138,6/7/2013 23:12,844,138,FALSE,,
53,4/18/2014 12:31,29,M7.3,4/18/2014 13:25,1244,94,4/18/2014 13:25,1203,360,4/18/2014 13:25,812,134,4/18/2014 13:25,1008,134,TRUE,38.52,
54,11/1/2021 0:57,48,M1.5,11/1/2021 2:00,657,94,11/1/2021 2:00,753,274,11/1/2021 2:00,588,152,11/1/2021 2:00,781,152,FALSE,,
55,11/7/2014 16:53,-35,X1.6,11/7/2014 18:08,802,104,11/7/2014 18:08,795,293,11/7/2014 18:08,938,360,11/7/2014 18:08,2016,360,FALSE,,
56,8/1/2014 18:00,-13,M1.5,8/1/2014 18:36,709,72,8/1/2014 18:36,789,360,8/1/2014 18:36,538,136,8/1/2014 18:36,1249,136,FALSE,,
57,6/29/2012 9:13,-38,M2.2,6/29/2012 9:36,1344,46,6/29/2012 9:36,904,49,6/29/2012 9:24,1157,24,6/29/2012 9:24,1302,24,FALSE,,
58,12/18/2014 21:41,-10,M6.9,12/19/2014 1:04,1405,88,12/19/2014 1:04,1195,360,,,,,,,FALSE,,
59,3/6/2023 2:08,65,M5.8,3/6/2023 3:12,970,70,3/6/2023 3:12,873,360,3/6/2023 3:24,1050,346,3/6/2023 3:24,1953,346,FALSE,,
60,5/9/2011 20:42,-88,C5.4,5/9/2011 20:57,776,116,5/9/2011 20:57,1318,292,5/9/2011 20:12,584,28,5/9/2011 20:12,753,28,FALSE,,
61,5/17/2012 1:25,89,M5.1,,,,5/17/2012 1:48,1582,360,5/17/2012 2:12,1302,360,5/17/2012 2:12,1953,360,TRUE,255.44,20.445
62,8/18/2022 10:37,35,M1.5,8/18/2022 11:00,1076,70,8/18/2022 11:00,1327,360,8/18/2022 11:00,812,96,8/18/2022 11:00,1201,96,FALSE,,
